offer_id,display_name,category,slot,price_usd,original_price_usd,value_multiplier,validity,trigger_condition,upsell_offer_id,item_type,item_sku_id,item_display_name,item_quantity
offer_nitro_boost_plus,SHARD STRIKE,micro_hook,1,$2.99,,5x,1d,,offer_drift_king_upsell,gems,gems,Gems,800
,,,,,,,,,,crate,sku_e8e7jeba7v,Exotic Crate,1
,,,,,,,,,,booster,sku_shrd6h_k7w2,Shard Booster 6h,1
,,,,,,,,,,speedUp,sku_spd3h_q2v8,3h Time Skip,1
,,,,,,,,,,speedUp,sku_spd1h_m5t6,1h Time Skip,2
,,,,,,,,,,speedUp,sku_spd15m_j8k2,15m Time Skip,2

offer_pit_stop_special,TURBO CACHE,micro_hook,1,$3.99,,5x,1d,,offer_drift_king_upsell,gems,gems,Gems,1200
,,,,,,,,,,crate,sku_e8e7jeba7v,Exotic Crate,1
,,,,,,,,,,booster,sku_wkm0amtg,Coin Booster 12h,1
,,,,,,,,,,speedUp,sku_spd3h_q2v8,3h Time Skip,2
,,,,,,,,,,speedUp,sku_spd1h_m5t6,1h Time Skip,2
,,,,,,,,,,speedUp,sku_spd30m_w3n9,30m Time Skip,2

offer_pro_crew_kit,LEGENDARY HAUL,mid_tier,2,$29.99,,3x,2d,,,gems,gems,Gems,6500
,,,,,,,,,,crate,sku_n9hsc0wxxk,Legendary Crate,1
,,,,,,,,,,booster,sku_tpt3379j8p,Coin Booster 24h,2
,,,,,,,,,,booster,sku_9pnmmjpscv,XP Booster 24h,2
,,,,,,,,,,booster,sku_shrd24h_n8t5,Shard Booster 24h,2
,,,,,,,,,,speedUp,sku_spd24h_b9f1,24h Time Skip,1
,,,,,,,,,,speedUp,sku_spd8h_y7p4,8h Time Skip,1
,,,,,,,,,,speedUp,sku_spd3h_q2v8,3h Time Skip,2
,,,,,,,,,,speedUp,sku_spd1h_m5t6,1h Time Skip,4

offer_street_legend,LEGEND SURGE,mid_tier,2,$39.99,,3x,2d,,,gems,gems,Gems,8000
,,,,,,,,,,crate,sku_n9hsc0wxxk,Legendary Crate,2
,,,,,,,,,,booster,sku_tpt3379j8p,Coin Booster 24h,2
,,,,,,,,,,booster,sku_9pnmmjpscv,XP Booster 24h,2
,,,,,,,,,,booster,sku_shrd24h_n8t5,Shard Booster 24h,2
,,,,,,,,,,speedUp,sku_spd24h_b9f1,24h Time Skip,1
,,,,,,,,,,speedUp,sku_spd8h_y7p4,8h Time Skip,2
,,,,,,,,,,speedUp,sku_spd3h_q2v8,3h Time Skip,3
,,,,,,,,,,speedUp,sku_spd1h_m5t6,1h Time Skip,5

offer_pro_circuit_pack,GRAND CIRCUIT,mid_tier,2,$69.99,,2x,2d,,,gems,gems,Gems,12000
,,,,,,,,,,crate,sku_n9hsc0wxxk,Legendary Crate,2
,,,,,,,,,,crate,sku_e8e7jeba7v,Exotic Crate,3
,,,,,,,,,,booster,sku_tpt3379j8p,Coin Booster 24h,3
,,,,,,,,,,booster,sku_9pnmmjpscv,XP Booster 24h,3
,,,,,,,,,,booster,sku_shrd24h_n8t5,Shard Booster 24h,3
,,,,,,,,,,speedUp,sku_spd24h_b9f1,24h Time Skip,1
,,,,,,,,,,speedUp,sku_spd8h_y7p4,8h Time Skip,2
,,,,,,,,,,speedUp,sku_spd3h_q2v8,3h Time Skip,4
,,,,,,,,,,speedUp,sku_spd1h_m5t6,1h Time Skip,6
,,,,,,,,,,speedUp,sku_spd15m_j8k2,15m Time Skip,6

offer_lvl10_milestone,MASTERY SURGE,milestone,4,$2.99,,5x,1d,mastery_rank_5,,gems,gems,Gems,1100
,,,,,,,,,,crate,sku_72wnqwtfmx,Rare Crate,1
,,,,,,,,,,booster,sku_wkm0amtg,Coin Booster 12h,1
,,,,,,,,,,speedUp,sku_spd3h_q2v8,3h Time Skip,2
,,,,,,,,,,speedUp,sku_spd1h_m5t6,1h Time Skip,2
,,,,,,,,,,speedUp,sku_spd30m_w3n9,30m Time Skip,2

offer_lvl20_milestone,HORIZON CACHE,milestone,4,$12.99,,4x,1d,mastery_rank_10,,gems,gems,Gems,3000
,,,,,,,,,,crate,sku_e8e7jeba7v,Exotic Crate,1
,,,,,,,,,,booster,sku_tpt3379j8p,Coin Booster 24h,1
,,,,,,,,,,booster,sku_9pnmmjpscv,XP Booster 24h,1
,,,,,,,,,,booster,sku_shrd24h_n8t5,Shard Booster 24h,1
,,,,,,,,,,speedUp,sku_spd24h_b9f1,24h Time Skip,1
,,,,,,,,,,speedUp,sku_spd8h_y7p4,8h Time Skip,2
,,,,,,,,,,speedUp,sku_spd3h_q2v8,3h Time Skip,3
,,,,,,,,,,speedUp,sku_spd1h_m5t6,1h Time Skip,5

offer_lvl50_milestone,APEX VAULT,milestone,4,$99.99,,2x,2d,mastery_rank_20,,gems,gems,Gems,15000
,,,,,,,,,,crate,sku_kgkjadrd79,Mythical Crate,1
,,,,,,,,,,crate,sku_n9hsc0wxxk,Legendary Crate,2
,,,,,,,,,,booster,sku_coin7d_q5r8,Coin Booster 7d,1
,,,,,,,,,,booster,sku_exp7d_f2h6,XP Booster 7d,1
,,,,,,,,,,booster,sku_shrd7d_w3j9,Shard Booster 7d,1
,,,,,,,,,,speedUp,sku_spd3d_h6c3,3d Time Skip,1
,,,,,,,,,,speedUp,sku_spd24h_b9f1,24h Time Skip,1
,,,,,,,,,,speedUp,sku_spd8h_y7p4,8h Time Skip,3
,,,,,,,,,,speedUp,sku_spd3h_q2v8,3h Time Skip,4
,,,,,,,,,,speedUp,sku_spd1h_m5t6,1h Time Skip,6
,,,,,,,,,,speedUp,sku_spd15m_j8k2,15m Time Skip,8

offer_mechanics_choice,GARAGE CIRCUIT,sweet_spot,2,$6.99,,4x,2d,,,gems,gems,Gems,1800
,,,,,,,,,,crate,sku_e8e7jeba7v,Exotic Crate,1
,,,,,,,,,,crate,sku_72wnqwtfmx,Rare Crate,2
,,,,,,,,,,booster,sku_wkm0amtg,Coin Booster 12h,1
,,,,,,,,,,booster,sku_nhh7jtda,XP Booster 12h,1
,,,,,,,,,,speedUp,sku_spd8h_y7p4,8h Time Skip,1
,,,,,,,,,,speedUp,sku_spd3h_q2v8,3h Time Skip,1
,,,,,,,,,,speedUp,sku_spd1h_m5t6,1h Time Skip,3

offer_drift_king,EXOTIC EDGE,sweet_spot,2,$9.99,,4x,2d,,,gems,gems,Gems,2500
,,,,,,,,,,crate,sku_e8e7jeba7v,Exotic Crate,2
,,,,,,,,,,crate,sku_72wnqwtfmx,Rare Crate,1
,,,,,,,,,,booster,sku_tpt3379j8p,Coin Booster 24h,1
,,,,,,,,,,booster,sku_9pnmmjpscv,XP Booster 24h,1
,,,,,,,,,,booster,sku_shrd24h_n8t5,Shard Booster 24h,1
,,,,,,,,,,speedUp,sku_spd8h_y7p4,8h Time Skip,1
,,,,,,,,,,speedUp,sku_spd3h_q2v8,3h Time Skip,2
,,,,,,,,,,speedUp,sku_spd1h_m5t6,1h Time Skip,3
,,,,,,,,,,speedUp,sku_spd15m_j8k2,15m Time Skip,4

offer_fast_lane_pack,SPEED VAULT,sweet_spot,2,$12.99,,4x,2d,,,gems,gems,Gems,3500
,,,,,,,,,,crate,sku_e8e7jeba7v,Exotic Crate,1
,,,,,,,,,,crate,sku_72wnqwtfmx,Rare Crate,2
,,,,,,,,,,booster,sku_tpt3379j8p,Coin Booster 24h,1
,,,,,,,,,,booster,sku_9pnmmjpscv,XP Booster 24h,1
,,,,,,,,,,booster,sku_shrd24h_n8t5,Shard Booster 24h,1
,,,,,,,,,,speedUp,sku_spd8h_y7p4,8h Time Skip,1
,,,,,,,,,,speedUp,sku_spd3h_q2v8,3h Time Skip,2
,,,,,,,,,,speedUp,sku_spd1h_m5t6,1h Time Skip,3
,,,,,,,,,,speedUp,sku_spd15m_j8k2,15m Time Skip,4

offer_weekend_warrior,EXOTIC STORM,sweet_spot,2,$19.99,,3x,2d,,,gems,gems,Gems,4000
,,,,,,,,,,crate,sku_e8e7jeba7v,Exotic Crate,3
,,,,,,,,,,booster,sku_tpt3379j8p,Coin Booster 24h,2
,,,,,,,,,,booster,sku_9pnmmjpscv,XP Booster 24h,2
,,,,,,,,,,booster,sku_shrd24h_n8t5,Shard Booster 24h,2
,,,,,,,,,,speedUp,sku_spd8h_y7p4,8h Time Skip,2
,,,,,,,,,,speedUp,sku_spd3h_q2v8,3h Time Skip,2
,,,,,,,,,,speedUp,sku_spd1h_m5t6,1h Time Skip,4
,,,,,,,,,,speedUp,sku_spd15m_j8k2,15m Time Skip,4

offer_tuners_vault,LEGENDARY EDGE,sweet_spot,2,$24.99,,3x,2d,,,gems,gems,Gems,4500
,,,,,,,,,,crate,sku_n9hsc0wxxk,Legendary Crate,1
,,,,,,,,,,crate,sku_e8e7jeba7v,Exotic Crate,2
,,,,,,,,,,booster,sku_tpt3379j8p,Coin Booster 24h,2
,,,,,,,,,,booster,sku_9pnmmjpscv,XP Booster 24h,2
,,,,,,,,,,booster,sku_shrd24h_n8t5,Shard Booster 24h,2
,,,,,,,,,,speedUp,sku_spd8h_y7p4,8h Time Skip,2
,,,,,,,,,,speedUp,sku_spd3h_q2v8,3h Time Skip,2
,,,,,,,,,,speedUp,sku_spd1h_m5t6,1h Time Skip,4
,,,,,,,,,,speedUp,sku_spd15m_j8k2,15m Time Skip,4

offer_drift_king_upsell,FLASH CIRCUIT,upsell,,$5.99,$9.99,7x,0.25h,post_purchase_upsell,offer_stage3_choice,gems,gems,Gems,2500
,,,,,,,,,,crate,sku_e8e7jeba7v,Exotic Crate,2
,,,,,,,,,,crate,sku_72wnqwtfmx,Rare Crate,1
,,,,,,,,,,booster,sku_tpt3379j8p,Coin Booster 24h,1
,,,,,,,,,,booster,sku_9pnmmjpscv,XP Booster 24h,1
,,,,,,,,,,booster,sku_shrd24h_n8t5,Shard Booster 24h,1
,,,,,,,,,,speedUp,sku_spd8h_y7p4,8h Time Skip,1
,,,,,,,,,,speedUp,sku_spd3h_q2v8,3h Time Skip,2
,,,,,,,,,,speedUp,sku_spd1h_m5t6,1h Time Skip,3
,,,,,,,,,,speedUp,sku_spd15m_j8k2,15m Time Skip,4

offer_the_collector,MYTHIC TROVE,whale,3,$79.99,,2x,3d,,,gems,gems,Gems,12000
,,,,,,,,,,crate,sku_kgkjadrd79,Mythical Crate,1
,,,,,,,,,,crate,sku_e8e7jeba7v,Exotic Crate,2
,,,,,,,,,,booster,sku_coin7d_q5r8,Coin Booster 7d,1
,,,,,,,,,,booster,sku_exp7d_f2h6,XP Booster 7d,1
,,,,,,,,,,booster,sku_shrd7d_w3j9,Shard Booster 7d,1
,,,,,,,,,,speedUp,sku_spd3d_h6c3,3d Time Skip,1
,,,,,,,,,,speedUp,sku_spd24h_b9f1,24h Time Skip,1
,,,,,,,,,,speedUp,sku_spd8h_y7p4,8h Time Skip,2
,,,,,,,,,,speedUp,sku_spd3h_q2v8,3h Time Skip,3
,,,,,,,,,,speedUp,sku_spd1h_m5t6,1h Time Skip,5

offer_elite_engineer,LEGENDARY VAULT,whale,3,$89.99,,3x,3d,,,gems,gems,Gems,16000
,,,,,,,,,,crate,sku_n9hsc0wxxk,Legendary Crate,4
,,,,,,,,,,booster,sku_tpt3379j8p,Coin Booster 24h,3
,,,,,,,,,,booster,sku_9pnmmjpscv,XP Booster 24h,3
,,,,,,,,,,booster,sku_shrd24h_n8t5,Shard Booster 24h,3
,,,,,,,,,,speedUp,sku_spd3d_h6c3,3d Time Skip,1
,,,,,,,,,,speedUp,sku_spd24h_b9f1,24h Time Skip,1
,,,,,,,,,,speedUp,sku_spd8h_y7p4,8h Time Skip,3
,,,,,,,,,,speedUp,sku_spd3h_q2v8,3h Time Skip,4
,,,,,,,,,,speedUp,sku_spd1h_m5t6,1h Time Skip,6
,,,,,,,,,,speedUp,sku_spd15m_j8k2,15m Time Skip,8

offer_garage_overhaul,GARAGE GODS,whale,3,$129.99,,2x,3d,,,gems,gems,Gems,20000
,,,,,,,,,,crate,sku_n9hsc0wxxk,Legendary Crate,3
,,,,,,,,,,crate,sku_e8e7jeba7v,Exotic Crate,5
,,,,,,,,,,booster,sku_coin7d_q5r8,Coin Booster 7d,2
,,,,,,,,,,booster,sku_exp7d_f2h6,XP Booster 7d,2
,,,,,,,,,,booster,sku_shrd7d_w3j9,Shard Booster 7d,2
,,,,,,,,,,speedUp,sku_spd3d_h6c3,3d Time Skip,1
,,,,,,,,,,speedUp,sku_spd24h_b9f1,24h Time Skip,2
,,,,,,,,,,speedUp,sku_spd8h_y7p4,8h Time Skip,3
,,,,,,,,,,speedUp,sku_spd3h_q2v8,3h Time Skip,5
,,,,,,,,,,speedUp,sku_spd1h_m5t6,1h Time Skip,8
,,,,,,,,,,speedUp,sku_spd15m_j8k2,15m Time Skip,10

offer_grand_prix_hoard,GRAND HAUL,whale,3,$149.99,,2x,3d,,,gems,gems,Gems,25000
,,,,,,,,,,crate,sku_kgkjadrd79,Mythical Crate,2
,,,,,,,,,,crate,sku_n9hsc0wxxk,Legendary Crate,2
,,,,,,,,,,booster,sku_coin7d_q5r8,Coin Booster 7d,1
,,,,,,,,,,booster,sku_exp7d_f2h6,XP Booster 7d,1
,,,,,,,,,,booster,sku_shrd7d_w3j9,Shard Booster 7d,1
,,,,,,,,,,speedUp,sku_spd3d_h6c3,3d Time Skip,2
,,,,,,,,,,speedUp,sku_spd24h_b9f1,24h Time Skip,2
,,,,,,,,,,speedUp,sku_spd8h_y7p4,8h Time Skip,3
,,,,,,,,,,speedUp,sku_spd3h_q2v8,3h Time Skip,5
,,,,,,,,,,speedUp,sku_spd1h_m5t6,1h Time Skip,8
,,,,,,,,,,speedUp,sku_spd15m_j8k2,15m Time Skip,10

offer_the_sovereign,SOVEREIGN CACHE,whale,3,$199.99,,4x,3d,,,gems,gems,Gems,60000
,,,,,,,,,,crate,sku_kgkjadrd79,Mythical Crate,5
,,,,,,,,,,crate,sku_n9hsc0wxxk,Legendary Crate,5
,,,,,,,,,,booster,sku_coin7d_q5r8,Coin Booster 7d,2
,,,,,,,,,,booster,sku_exp7d_f2h6,XP Booster 7d,2
,,,,,,,,,,booster,sku_shrd7d_w3j9,Shard Booster 7d,2
,,,,,,,,,,speedUp,sku_spd3d_h6c3,3d Time Skip,2
,,,,,,,,,,speedUp,sku_spd24h_b9f1,24h Time Skip,3
,,,,,,,,,,speedUp,sku_spd8h_y7p4,8h Time Skip,4
,,,,,,,,,,speedUp,sku_spd3h_q2v8,3h Time Skip,6
,,,,,,,,,,speedUp,sku_spd1h_m5t6,1h Time Skip,10
,,,,,,,,,,speedUp,sku_spd30m_w3n9,30m Time Skip,10

offer_championship_kit,CHAMPIONS VAULT,whale,3,$199.99,,2x,3d,,,gems,gems,Gems,35000
,,,,,,,,,,crate,sku_kgkjadrd79,Mythical Crate,3
,,,,,,,,,,crate,sku_n9hsc0wxxk,Legendary Crate,3
,,,,,,,,,,booster,sku_tpt3379j8p,Coin Booster 24h,4
,,,,,,,,,,booster,sku_9pnmmjpscv,XP Booster 24h,4
,,,,,,,,,,booster,sku_shrd24h_n8t5,Shard Booster 24h,4
,,,,,,,,,,speedUp,sku_spd3d_h6c3,3d Time Skip,2
,,,,,,,,,,speedUp,sku_spd24h_b9f1,24h Time Skip,3
,,,,,,,,,,speedUp,sku_spd8h_y7p4,8h Time Skip,4
,,,,,,,,,,speedUp,sku_spd3h_q2v8,3h Time Skip,6
,,,,,,,,,,speedUp,sku_spd1h_m5t6,1h Time Skip,10
,,,,,,,,,,speedUp,sku_spd30m_w3n9,30m Time Skip,10

